iter	RMSE
232	2.714316866
233	2.697368789
234	2.690863892
235	2.674591907
236	2.669696231
237	2.664629998
238	2.648425818
239	2.641529483
240	2.628249452
241	2.616251517
242	2.612228634
243	2.606101477
244	2.595067687
245	2.583095831
246	2.577636409
247	2.567293788
248	2.551586529
249	2.54496558
250	2.532478352
251	2.524092364
252	2.518164048
253	2.510434874
254	2.492944004
255	2.484598947
256	2.471619735
257	2.463475605
258	2.456176457
259	2.448190333
260	2.437871514
261	2.432809109
262	2.423365419
263	2.409721977
264	2.401887071
265	2.394039107
266	2.387879948
267	2.381573682
268	2.37387725
269	2.35039362
270	2.342581734
271	2.331472017
272	2.320098931
273	2.313154127
274	2.304599376
275	2.292864843
276	2.284561561
277	2.279288912
278	2.27421803
279	2.268479501
280	2.263061386
281	2.244711731
282	2.23543757
283	2.232340283
284	2.227683707
285	2.216345809
286	2.207546862
287	2.193889021
288	2.18039323
289	2.174399538
290	2.168672738
291	2.156931488
292	2.153676812
293	2.142906929
294	2.136942705
295	2.12875423
296	2.118134243
297	2.104898312
298	2.092740139
299	2.082057225
300	2.076431064
301	2.071796726
302	2.054988778
303	2.041048914
304	2.035341347
305	2.030385113
306	2.029666765
307	2.02100707
308	2.012012801
309	2.008571991
310	2.000638187
311	1.993151048
312	1.990962459
313	1.976693893
314	1.972519291
315	1.964050221
316	1.956765612
317	1.940251112
318	1.936030833
319	1.930574543
320	1.926700116
321	1.923029726
322	1.918142935
323	1.902189838
324	1.896506752
325	1.891311345
326	1.885020276
327	1.875873957
328	1.872167644
329	1.862620804
330	1.861318643
331	1.854349651
332	1.848735705
333	1.845208283
334	1.840874958
335	1.832208162
336	1.824077986
337	1.817912467
338	1.812015609
339	1.80286306
340	1.795148334
341	1.785673977
342	1.78020951
343	1.77638786
344	1.773866355
345	1.771374918
346	1.764694183
347	1.761556293
348	1.759293377
349	1.7510173
350	1.746822772
351	1.7435527
352	1.736244077
353	1.733096778
354	1.729300151
355	1.71846898
356	1.713681727
357	1.71055581
358	1.703654804
359	1.699345341
360	1.694912123
361	1.690429605
362	1.684488202
363	1.677956633
364	1.676051785
365	1.672471423
366	1.670322611
367	1.666308387
368	1.652006014
369	1.647456413
370	1.644900612
371	1.640058316
372	1.637600539
373	1.627780459
374	1.622386437
375	1.618990812
376	1.610763101
377	1.60593091
378	1.60174301
379	1.598899305
380	1.595776124
381	1.593768424
382	1.58911795
383	1.58724071
384	1.585242171
385	1.578249413
386	1.57597989
387	1.573445167
388	1.566455404
389	1.561687902
390	1.554560793
391	1.551394352
392	1.542541263
393	1.53293946
394	1.530388505
395	1.528184467
396	1.523352705
397	1.52137949
398	1.518561234
399	1.512909014
400	1.510452563
401	1.507843105
402	1.501811694
403	1.495643145
404	1.486007941
405	1.480852266
406	1.478032946
407	1.473072754
408	1.465631911
409	1.45994252
410	1.450141593
411	1.448220738
412	1.440112689
413	1.434045099
414	1.432381705
415	1.431290478
416	1.428924212
417	1.424368155
418	1.420445495
419	1.417989349
420	1.412414283
421	1.405132337
422	1.402943309
423	1.397998463
424	1.392724917
425	1.38713255
426	1.378482429
427	1.373831423
428	1.37017668
429	1.367198482
430	1.364186957
431	1.36153998
432	1.359439152
433	1.354990679
434	1.350462676
435	1.344980994
436	1.342655841
437	1.340283836
438	1.336868007
439	1.336115851
440	1.334898457
441	1.326960154
442	1.321335766
443	1.317746213
444	1.315147955
445	1.311169976
446	1.301958282
447	1.300752723
448	1.296379944
449	1.291258302
450	1.287599394
451	1.279588456
452	1.276170714
453	1.273695595
454	1.272303034
455	1.269877211
456	1.266947052
457	1.262580404
458	1.256517467
459	1.252051509
460	1.249737577
461	1.24636112
462	1.244871767
463	1.242476007
464	1.234251308
465	1.229613882
466	1.225757428
467	1.223282809
468	1.220176245
469	1.219230615
470	1.213015193
471	1.204650567
472	1.20319295
473	1.202294367
474	1.199804878
475	1.196392272
476	1.191827828
477	1.187077961
478	1.183960554
479	1.182502713
480	1.179822943
481	1.176421794
482	1.173958754
483	1.171788517
484	1.170811684
485	1.166532447
486	1.161041548
487	1.151966453
488	1.150623097
489	1.146017823
490	1.138233822
491	1.132610977
492	1.131361539
493	1.129897466
494	1.125834348
495	1.121550344
496	1.119603076
497	1.117066428
498	1.116898465
499	1.111554815
